Velocidad de entrada;Velocidad medida por el motor;Velocidad giroscopio
175;175.824;166.29
175;173.16;160.05
175;175.824;164.5
175;175.824;169.19
175;175.824;164.46
175;173.16;169.98
175;170.496;161.76
175;173.16;173.82
175;173.16;162.52
175;175.824;161.64
175;173.16;165.71
175;175.824;160.43
175;175.824;163.18
175;175.824;168.28
175;175.824;167.18
175;175.824;171.19
175;173.16;168.91
175;175.824;177.41
175;173.16;160.95
175;173.16;174.69
175;175.824;168.41
175;173.16;176.08
175;173.16;163.33
175;173.16;173.34
175;175.824;167.14
175;170.496;162.53
175;175.824;160.69
175;173.16;176.26
175;173.16;162.19
175;175.824;179.77
165;165.168;155.04
165;162.50400000000002;166.53
165;165.168;154.56
165;162.50400000000002;144.74
165;162.50400000000002;154.88
165;165.168;149.18
165;165.168;154.31
165;165.168;149.69
165;165.168;155.02
165;162.50400000000002;160.76
165;162.50400000000002;155.14
165;162.50400000000002;142.15
165;165.168;154.94
165;165.168;149.21
165;165.168;156.5
165;165.168;161.51
165;165.168;154.85
165;165.168;156.19
165;165.168;154.08
165;165.168;160.61
165;167.83200000000002;152.67
165;165.168;156.53
165;165.168;154.42
165;165.168;159.46
165;167.83200000000002;155.62
165;162.50400000000002;144.02
165;167.83200000000002;155.86
165;165.168;151.85
165;165.168;153.57
165;165.168;151.6
155;154.512;146.21
155;154.512;143.43
155;154.512;145.34
155;151.848;136.59
155;154.512;149.9
155;154.512;138.53
155;154.512;144.67
155;154.512;137.78
155;154.512;153.18
155;154.512;148.4
155;157.17600000000002;156.98
155;154.512;137.47
155;154.512;152.82
155;154.512;137.66
155;154.512;157.94
155;154.512;146.15
155;154.512;156.22
155;154.512;138.34
155;154.512;155.5
155;154.512;139.82
155;157.17600000000002;148.4
155;154.512;139.86
155;154.512;147.37
155;151.848;155.67
155;154.512;156.76
155;157.17600000000002;148.19
155;154.512;151.56
155;157.17600000000002;138.35
155;154.512;153.55
155;157.17600000000002;139.7
145;143.856;136.76
145;143.856;140.9
145;143.856;138.15
145;141.192;129.97
145;141.192;136.3
145;143.856;127.53
145;146.52;135.61
145;146.52;135.5
145;143.856;136.95
145;141.192;126.55
145;141.192;137.08
145;143.856;137.54
145;143.856;138.63
145;146.52;131.53
145;143.856;136.17
145;143.856;142.44
145;143.856;135.43
145;138.52800000000002;134.01
145;143.856;136.22
145;143.856;139.18
145;143.856;136.7
145;143.856;127.08
145;146.52;134.64
145;143.856;131.29
145;143.856;136.32
145;143.856;142.44
145;146.52;137.47
145;146.52;126.38
145;143.856;137.91
145;143.856;141.89
135;133.20000000000002;130.31
135;135.864;128.21
135;130.536;133.07
135;135.864;131.83
135;133.20000000000002;125.37
135;133.20000000000002;130.61
135;135.864;127.76
135;130.536;131.47
135;130.536;125.41
135;135.864;131.48
135;133.20000000000002;124.97
135;135.864;131.28
135;135.864;126.91
135;135.864;132.32
135;133.20000000000002;125.47
135;133.20000000000002;132.17
135;133.20000000000002;125.3
135;133.20000000000002;130.55
135;135.864;133.76
135;133.20000000000002;132.29
135;133.20000000000002;128.79
135;133.20000000000002;128.1
135;133.20000000000002;128.19
135;133.20000000000002;128.21
135;133.20000000000002;124.46
135;133.20000000000002;130.82
135;133.20000000000002;125.11
135;135.864;131.92
135;133.20000000000002;125.51
135;133.20000000000002;131.59
125;122.54400000000001;109.39
125;122.54400000000001;102.07
125;125.20800000000001;108.27
125;122.54400000000001;109.34
125;122.54400000000001;108.98
125;122.54400000000001;106.93
125;122.54400000000001;108.41
125;122.54400000000001;114.37
125;125.20800000000001;107.75
125;125.20800000000001;111.61
125;122.54400000000001;107.17
125;125.20800000000001;122.12
125;119.88000000000001;108.05
125;122.54400000000001;115.31
125;122.54400000000001;108.49
125;125.20800000000001;108.92
125;122.54400000000001;109.49
125;125.20800000000001;102.76
125;122.54400000000001;108.63
125;122.54400000000001;108.95
125;122.54400000000001;107.45
125;125.20800000000001;111.46
125;122.54400000000001;107.79
125;125.20800000000001;103.86
125;122.54400000000001;107.84
125;122.54400000000001;107.04
125;122.54400000000001;108.21
125;125.20800000000001;113.64
125;125.20800000000001;112.41
125;125.20800000000001;108.43
115;119.88000000000001;99.94
115;117.21600000000001;105.48
115;111.888;98.21
115;117.21600000000001;102.09
115;111.888;98.29
115;119.88000000000001;107.33
115;114.552;99.27
115;114.552;101.73
115;114.552;99.57
115;117.21600000000001;106.69
115;119.88000000000001;100.71
115;117.21600000000001;106.77
115;111.888;98.71
115;117.21600000000001;101.93
115;114.552;101.03
115;114.552;99.23
115;117.21600000000001;98.75
115;117.21600000000001;105.89
115;117.21600000000001;97.17
115;119.88000000000001;105.29
115;114.552;98.53
115;119.88000000000001;98.76
115;114.552;98.82
115;117.21600000000001;101.28
115;114.552;101.11
115;114.552;99.65
115;117.21600000000001;99.28
115;117.21600000000001;103.95
115;111.888;98.36
115;114.552;107.19
105;106.56;92.74
105;106.56;74.56
105;106.56;92.95
105;106.56;72.82
105;109.224;90.78
105;106.56;79.08
105;103.896;91.98
105;106.56;88.46
105;109.224;93.39
105;106.56;99.78
105;106.56;93.82
105;106.56;102.64
105;109.224;93.77
105;106.56;78.91
105;106.56;91.38
105;106.56;107.32
105;106.56;93.55
105;109.224;87.64
105;106.56;93.89
105;106.56;78.55
105;109.224;92.59
105;109.224;73.15
105;106.56;93.19
105;106.56;94.88
105;106.56;92.21
105;109.224;103.44
105;106.56;93.56
105;109.224;80.1
105;106.56;93.5
105;106.56;79.75
95;98.56800000000001;92.15
95;95.90400000000001;92.04
95;95.90400000000001;92.77
95;95.90400000000001;85.27
95;95.90400000000001;88.52
95;95.90400000000001;85.02
95;95.90400000000001;86.03
95;93.24000000000001;94.02
95;95.90400000000001;86.34
95;95.90400000000001;90.5
95;95.90400000000001;93.21
95;95.90400000000001;85.49
95;95.90400000000001;92.87
95;95.90400000000001;92.15
95;98.56800000000001;85.04
95;95.90400000000001;90.31
95;98.56800000000001;83.62
95;93.24000000000001;85.26
95;95.90400000000001;87.71
95;98.56800000000001;85.49
95;95.90400000000001;92.29
95;95.90400000000001;84.82
95;95.90400000000001;92.68
95;95.90400000000001;84.85
95;95.90400000000001;83.6
95;95.90400000000001;86.04
95;98.56800000000001;92.98
95;95.90400000000001;87.06
95;95.90400000000001;86.73
95;98.56800000000001;89.5
85;85.248;77.72
85;85.248;69.02
85;85.248;78.37
85;85.248;76.47
85;87.912;77.57
85;85.248;74.92
85;85.248;77.24
85;85.248;86.18
85;85.248;77.11
85;85.248;71.44
85;85.248;80.06
85;87.912;75.48
85;85.248;77.34
85;85.248;82.34
85;87.912;77.94
85;85.248;77.37
85;87.912;77.4
85;85.248;75.63
85;82.584;77.26
85;87.912;73.41
85;87.912;78.23
85;87.912;68.29
85;82.584;77.48
85;85.248;79.04
85;87.912;78.4
85;82.584;76.47
85;87.912;77.52
85;85.248;79.94
85;82.584;77.84
85;85.248;75.37
75;74.592;73.05
75;74.592;68.93
75;74.592;74.55
75;77.256;69.47
75;74.592;70.84
75;74.592;71.56
75;74.592;68.88
75;74.592;66.4
75;77.256;69.92
75;74.592;69.79
75;74.592;75.82
75;74.592;71.44
75;74.592;75.98
75;77.256;71.32
75;74.592;71.09
75;74.592;68.55
75;74.592;69.4
75;74.592;66.48
75;77.256;74.53
75;74.592;71.28
75;74.592;72.82
75;74.592;70.64
75;74.592;73.18
75;74.592;69.18
75;74.592;71.2
75;74.592;68.18
75;74.592;68.97
75;77.256;71.43
75;74.592;70.92
75;71.928;68.15
65;63.93600000000001;60.12
65;63.93600000000001;60.06
65;66.60000000000001;57.2
65;66.60000000000001;58.39
65;63.93600000000001;55.96
65;63.93600000000001;61.48
65;69.26400000000001;59.95
65;63.93600000000001;61.29
65;63.93600000000001;60.61
65;66.60000000000001;62.12
65;63.93600000000001;56.62
65;63.93600000000001;53.89
65;63.93600000000001;58.23
65;66.60000000000001;58.35
65;63.93600000000001;60.57
65;63.93600000000001;60.53
65;66.60000000000001;55.93
65;66.60000000000001;60.44
65;63.93600000000001;60.37
65;66.60000000000001;62.76
