Conexion,Identificadores,Numero de modulos,Pos. Objetivo,Pos. Final 1,Pos. Final 2,Pos. Final 3
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.772104]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.79767],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.79767],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.777217]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.403948],[-0.403948]
