sequence,step,increments,prev_j_positions,prev_pos_x,prev_pos_y,prev_pos_z,post_j_positions,post_pos_x,post_pos_y,post_pos_z
0,0,"[0.010004108953812294, -0.11993562092818394, 0.07017774768087995]","[0.0, -2.384185791015625e-07, 2.384185791015625e-07]",2.9490831366274506e-05,1.745653571560979e-05,0.2874123156070709,"[0.010045766830444336, -0.12047171592712402, 0.07051229476928711]",0.009167410433292389,-2.1644609660143033e-05,0.2872869670391083
0,1,"[0.055603897967669715, -0.06282933562784802, -0.0037113986827958818]","[0.010045766830444336, -0.12047171592712402, 0.07051229476928711]",0.009167410433292389,-2.1644609660143033e-05,0.2872869670391083,"[0.06592440605163574, -0.18404459953308105, 0.06706905364990234]",0.005616427399218082,-4.3344975892978255e-06,0.2870344817638397
0,2,"[-0.04347246861411498, -0.09401030969558327, 0.04677611159932782]","[0.06592440605163574, -0.18404459953308105, 0.06706905364990234]",0.005616427399218082,-4.3344975892978255e-06,0.2870344817638397,"[0.022498130798339844, -0.2790958881378174, 0.11429119110107422]",0.02258463203907013,2.2123967937659472e-06,0.28487494587898254
0,3,"[0.11559022413252129, 0.06618643384327699, -0.023815458202590244]","[0.022498130798339844, -0.2790958881378174, 0.11429119110107422]",0.02258463203907013,2.2123967937659472e-06,0.28487494587898254,"[0.13861083984375, -0.21347784996032715, 0.09073305130004883]",-0.00576549069955945,-5.862669695488876e-06,0.2868242859840393
0,4,"[-0.08841253732345669, 0.005544879553771444, 0.04548832362187317]","[0.13861083984375, -0.21347784996032715, 0.09073305130004883]",-0.00576549069955945,-5.862669695488876e-06,0.2868242859840393,"[0.0502629280090332, -0.2083899974822998, 0.1366562843322754]",0.009091649204492569,8.037108273128979e-06,0.2867114841938019
0,5,"[-0.08048986367190386, 0.07965865513449227, -0.12274720517621085]","[0.0502629280090332, -0.2083899974822998, 0.1366562843322754]",0.009091649204492569,8.037108273128979e-06,0.2867114841938019,"[-0.03051137924194336, -0.12875652313232422, 0.013689517974853516]",0.019277669489383698,-1.0226174708805047e-05,0.2864331901073456
0,6,"[0.0666682172159461, -0.07437647794898719, -0.053416025564994724]","[-0.03051137924194336, -0.12875652313232422, 0.013689517974853516]",0.019277669489383698,-1.0226174708805047e-05,0.2864331901073456,"[0.03619956970214844, -0.20348834991455078, -0.04016518592834473]",0.016351237893104553,1.3620102436107118e-05,0.28600379824638367
0,7,"[0.10610799526580696, 0.011233825206904717, -0.02574695017397497]","[0.03619956970214844, -0.20348834991455078, -0.04016518592834473]",0.016351237893104553,1.3620102436107118e-05,0.28600379824638367,"[0.14279532432556152, -0.1925029754638672, -0.06640625]",-0.004190520383417606,-3.6089904824621044e-06,0.2866430878639221
0,8,"[0.08701152314193415, 0.011633537207723315, 0.021608899362281428]","[0.14279532432556152, -0.1925029754638672, -0.06640625]",-0.004190520383417606,-3.6089904824621044e-06,0.2866430878639221,"[0.23058819770812988, -0.18102622032165527, -0.045110225677490234]",-0.02260298654437065,-2.8831345844082534e-05,0.2854870855808258
0,9,"[0.12422384955636204, -0.10830347438641523, 0.09999467293466678]","[0.23058819770812988, -0.18102622032165527, -0.045110225677490234]",-0.02260298654437065,-2.8831345844082534e-05,0.2854870855808258,"[0.3559694290161133, -0.28994083404541016, 0.055101871490478516]",-0.03687015175819397,-0.00016165667329914868,0.2823619544506073
0,10,"[-0.05798064693710826, -0.07739911884078218, -0.1037031126262635]","[0.3559694290161133, -0.28994083404541016, 0.055101871490478516]",-0.03687015175819397,-0.00016165667329914868,0.2823619544506073,"[0.2987070083618164, -0.3681917190551758, -0.048915863037109375]",-0.01462489366531372,-9.518388833384961e-05,0.28391969203948975
0,11,"[-0.04250649873152438, -0.04911554400564512, 0.06524162939624868]","[0.2987070083618164, -0.3681917190551758, -0.048915863037109375]",-0.01462489366531372,-9.518388833384961e-05,0.28391969203948975,"[0.2566232681274414, -0.4182426929473877, 0.016373157501220703]",-0.0032856110483407974,-7.962139352457598e-05,0.2839179039001465
0,12,"[0.06903219421927312, 0.11838190607006666, 0.06006373306333636]","[0.2566232681274414, -0.4182426929473877, 0.016373157501220703]",-0.0032856110483407974,-7.962139352457598e-05,0.2839179039001465,"[0.32629895210266113, -0.3001127243041992, 0.07676291465759277]",-0.030868738889694214,-9.887183841783553e-05,0.28338783979415894
