sequence,step,increments,prev_j_positions,prev_j_velocities,prev_j_forces,prev_base_pos_x,prev_base_pos_y,prev_base_pos_z,prev_base_ori_alpha,prev_base_ori_beta,prev_base_ori_gamma,post_j_positions,post_j_velocities,post_j_forces,post_base_pos_x,post_base_pos_y,post_base_pos_z,post_base_ori_alpha,post_base_ori_beta,post_base_ori_gamma
0,0,"[-0.12613042184979575, 0.0592668035715147, -0.016786578894676548, 0.0677800951256792, -0.11571158936695432, 0.12617263354711244, -0.11233828915145022, 0.11664962958204433]","[-0.0004229545593261719, 1.5691816806793213, -0.004001617431640625, 1.5529615879058838, -0.0005266666412353516, 1.551494836807251, 0.0003905296325683594, 1.5697166919708252]","[0.020885471254587173, 0.028228765353560448, -0.3048897385597229, 0.3816605508327484, 0.6563187837600708, -0.0663757473230362, -0.04215241223573685, 0.047874461859464645]","[-0.013019926846027374, 0.18578627705574036, -0.041131097823381424, -0.014723503962159157, -0.03702284395694733, -0.04859538376331329, -0.009997941553592682, 0.2197069674730301]",0.11783488839864731,0.0,0.0,-1.2099115338060074e-05,0.0003434645477682352,0.0003088919911533594,"[-0.12137269973754883, 1.571723222732544, -0.024121761322021484, 1.5722687244415283, -0.11494088172912598, 1.571112871170044, -0.11252856254577637, 1.5743906497955322]","[0.10323534160852432, 0.019836444407701492, -0.23355506360530853, 0.18386858701705933, -0.04358295723795891, -0.20599384605884552, -0.145912304520607, -0.05035405233502388]","[0.17346760630607605, 1.594848871231079, -0.1998366117477417, 1.4228540658950806, 0.018791690468788147, 1.3416125774383545, -0.019146570935845375, 1.3967698812484741]",-0.0033466520253568888,-0.0009530153474770486,0.11797875165939331,-4.2888768803095445e-05,0.00012745504500344396,0.03346068412065506
0,1,"[-0.002215149549820688, -0.059729389948448, 0.00922277568198988, 0.03559674689610316, 0.13085571102673998, -0.016162405450600235, 0.05333625721559753, -0.010902756058436335]","[-0.12137269973754883, 1.571723222732544, -0.024121761322021484, 1.5722687244415283, -0.11494088172912598, 1.571112871170044, -0.11252856254577637, 1.5743906497955322]","[0.10323534160852432, 0.019836444407701492, -0.23355506360530853, 0.18386858701705933, -0.04358295723795891, -0.20599384605884552, -0.145912304520607, -0.05035405233502388]","[0.17346760630607605, 1.594848871231079, -0.1998366117477417, 1.4228540658950806, 0.018791690468788147, 1.3416125774383545, -0.019146570935845375, 1.3967698812484741]",-0.0033466520253568888,-0.0009530153474770486,0.11797875165939331,-4.2888768803095445e-05,0.00012745504500344396,0.03346068412065506,"[-0.12466669082641602, 1.5295994281768799, -0.01938486099243164, 1.5753748416900635, 0.012445449829101562, 1.5603077411651611, -0.057524919509887695, 1.568798303604126]","[-0.040054358541965485, -0.13809217512607574, 0.15940681099891663, 0.9201058745384216, 0.19083040952682495, -0.06313329935073853, -0.17681138217449188, -0.1214982271194458]","[0.010159922763705254, 0.560469925403595, -0.13024607300758362, 0.8967175483703613, -0.1663699597120285, 0.1441328078508377, 0.16877540946006775, 0.16893169283866882]",-0.00047007304965518415,0.0014636041596531868,0.11819486320018768,-0.0006386241293512285,-0.0037681879475712776,0.02206599898636341
0,2,"[-0.018971973123591394, 0.10377103818132309, -0.12070400547309003, -0.04734204986272795, 0.08351289763745497, 0.036392155481101154, 0.0024148461513304616, 0.007654066407280281]","[-0.12466669082641602, 1.5295994281768799, -0.01938486099243164, 1.5753748416900635, 0.012445449829101562, 1.5603077411651611, -0.057524919509887695, 1.568798303604126]","[-0.040054358541965485, -0.13809217512607574, 0.15940681099891663, 0.9201058745384216, 0.19083040952682495, -0.06313329935073853, -0.17681138217449188, -0.1214982271194458]","[0.010159922763705254, 0.560469925403595, -0.13024607300758362, 0.8967175483703613, -0.1663699597120285, 0.1441328078508377, 0.16877540946006775, 0.16893169283866882]",-0.00047007304965518415,0.0014636041596531868,0.11819486320018768,-0.0006386241293512285,-0.0037681879475712776,0.02206599898636341,"[-0.15184307098388672, 1.5713598728179932, -0.13172101974487305, 1.5275728702545166, 0.08714866638183594, 1.5712292194366455, -0.04651165008544922, 1.571793794631958]","[0.284958153963089, -0.358391135931015, 0.07395751029253006, 0.013542188331484795, 0.3445628583431244, -0.016593948006629944, 0.09212502837181091, 0.09078988432884216]","[-0.2337055504322052, 1.0434253215789795, 0.2020825445652008, 0.0018794715870171785, -0.28365686535835266, 1.0929960012435913, 0.26468315720558167, 1.1173099279403687]",0.004184367135167122,0.0016246389131993055,0.11816822737455368,-0.0011377057526260614,0.004763211123645306,0.029754284769296646
0,3,"[-0.0542045239396309, 0.022588666929305893, 0.09117500182786539, 0.07204552852291042, -0.0850848206301036, 0.013351122607959183, 0.07083729064895142, 0.033416165378649255]","[-0.15184307098388672, 1.5713598728179932, -0.13172101974487305, 1.5275728702545166, 0.08714866638183594, 1.5712292194366455, -0.04651165008544922, 1.571793794631958]","[0.284958153963089, -0.358391135931015, 0.07395751029253006, 0.013542188331484795, 0.3445628583431244, -0.016593948006629944, 0.09212502837181091, 0.09078988432884216]","[-0.2337055504322052, 1.0434253215789795, 0.2020825445652008, 0.0018794715870171785, -0.28365686535835266, 1.0929960012435913, 0.26468315720558167, 1.1173099279403687]",0.004184367135167122,0.0016246389131993055,0.11816822737455368,-0.0011377057526260614,0.004763211123645306,0.029754284769296646,"[-0.1974334716796875, 1.5711414813995361, -0.04603934288024902, 1.5724337100982666, 0.007658958435058594, 1.5709154605865479, 0.0137939453125, 1.5711033344268799]","[-0.3721717596054077, -0.1516343653202057, 0.2903940975666046, -0.3198626637458801, -0.18854159116744995, -0.265884667634964, -0.06752020865678787, 0.040626563131809235]","[0.2642908990383148, 1.0372412204742432, -0.2798803746700287, 1.1502958536148071, 0.30652785301208496, 0.9866402745246887, -0.2982657551765442, 1.3851206302642822]",0.00442224508151412,0.0009367631282657385,0.11788898706436157,0.00024829863104969263,0.001124255359172821,0.02938258647918701
0,4,"[-0.03183826512909506, -0.01593833114281746, 0.019459634855405798, 0.05388825126062396, 0.07412755933857, -0.1144555008423139, 0.03542843122095147, 0.027180323619009225]","[-0.1974334716796875, 1.5711414813995361, -0.04603934288024902, 1.5724337100982666, 0.007658958435058594, 1.5709154605865479, 0.0137939453125, 1.5711033344268799]","[-0.3721717596054077, -0.1516343653202057, 0.2903940975666046, -0.3198626637458801, -0.18854159116744995, -0.265884667634964, -0.06752020865678787, 0.040626563131809235]","[0.2642908990383148, 1.0372412204742432, -0.2798803746700287, 1.1502958536148071, 0.30652785301208496, 0.9866402745246887, -0.2982657551765442, 1.3851206302642822]",0.00442224508151412,0.0009367631282657385,0.11788898706436157,0.00024829863104969263,0.001124255359172821,0.02938258647918701,"[-0.2280290126800537, 1.5633528232574463, -0.030707597732543945, 1.5727264881134033, 0.08505105972290039, 1.487941026687622, 0.049216270446777344, 1.5719549655914307]","[0.07843978703022003, -0.02803805097937584, 0.23427031934261322, 0.009536752477288246, -0.02326967567205429, 0.3051760792732239, -0.023365043103694916, 0.15144363045692444]","[0.0790664404630661, 0.22813138365745544, -0.16806645691394806, 1.4096338748931885, 0.10122834146022797, 0.5817810893058777, -0.04001665860414505, 1.1324398517608643]",0.005901743192225695,-0.003808588720858097,0.11855743825435638,0.0021178219467401505,-0.006839682813733816,0.015049198642373085
0,5,"[-0.1280994050192325, -0.06687565483482602, -0.045816930636068315, 0.006362434895551549, -0.10765289552981004, 0.018345753983715282, -0.10213568855357964, 0.026210829206958306]","[-0.2280290126800537, 1.5633528232574463, -0.030707597732543945, 1.5727264881134033, 0.08505105972290039, 1.487941026687622, 0.049216270446777344, 1.5719549655914307]","[0.07843978703022003, -0.02803805097937584, 0.23427031934261322, 0.009536752477288246, -0.02326967567205429, 0.3051760792732239, -0.023365043103694916, 0.15144363045692444]","[0.0790664404630661, 0.22813138365745544, -0.16806645691394806, 1.4096338748931885, 0.10122834146022797, 0.5817810893058777, -0.04001665860414505, 1.1324398517608643]",0.005901743192225695,-0.003808588720858097,0.11855743825435638,0.0021178219467401505,-0.006839682813733816,0.015049198642373085,"[-0.3508951663970947, 1.5120880603790283, -0.08449339866638184, 1.5709078311920166, -0.021331071853637695, 1.518953561782837, -0.04893016815185547, 1.57131028175354]","[-0.07462508976459503, 0.07743842899799347, -0.24313950538635254, -0.20446796715259552, -0.01344682089984417, 0.2109529674053192, 0.04496578872203827, -0.02727511152625084]","[0.1561611294746399, 0.3860572278499603, -0.17301174998283386, 1.1341866254806519, 0.007157968822866678, 0.3271830677986145, 0.032441817224025726, 1.1634609699249268]",0.0066388193517923355,-0.003163127228617668,0.11859401315450668,-0.00024249721900559962,-0.007569316774606705,0.05642620846629143
0,6,"[0.12138247584859398, 0.12265867013774787, 0.00807666858771412, -0.06910441582781203, 0.10733909313323967, 0.011235179702194148, -0.10124453303820805, 0.00030664418682152707]","[-0.3508951663970947, 1.5120880603790283, -0.08449339866638184, 1.5709078311920166, -0.021331071853637695, 1.518953561782837, -0.04893016815185547, 1.57131028175354]","[-0.07462508976459503, 0.07743842899799347, -0.24313950538635254, -0.20446796715259552, -0.01344682089984417, 0.2109529674053192, 0.04496578872203827, -0.02727511152625084]","[0.1561611294746399, 0.3860572278499603, -0.17301174998283386, 1.1341866254806519, 0.007157968822866678, 0.3271830677986145, 0.032441817224025726, 1.1634609699249268]",0.0066388193517923355,-0.003163127228617668,0.11859401315450668,-0.00024249721900559962,-0.007569316774606705,0.05642620846629143,"[-0.23187613487243652, 1.573456048965454, -0.07598423957824707, 1.51088547706604, 0.07975578308105469, 1.532787561416626, -0.14838767051696777, 1.5724022388458252]","[-0.00638962397351861, 0.3976825773715973, 0.009870538488030434, -0.19969959557056427, -0.12311947345733643, 0.036621127277612686, -0.12154591083526611, 0.035476718097925186]","[-0.03785408288240433, 1.1763471364974976, 0.03082859516143799, 0.1951998621225357, -0.12959636747837067, 0.09910885989665985, 0.12759718298912048, 1.2357757091522217]",0.009896127507090569,-0.0004855819861404598,0.11851193010807037,-0.0004381593025755137,0.00311140320263803,0.03920663893222809
0,7,"[0.12644038241864822, -0.04812369189472407, -0.09175459665485798, -0.120004086795198, 0.07950399186784438, 0.003143055503408043, -0.11546251493251197, 0.12060444485653161]","[-0.23187613487243652, 1.573456048965454, -0.07598423957824707, 1.51088547706604, 0.07975578308105469, 1.532787561416626, -0.14838767051696777, 1.5724022388458252]","[-0.00638962397351861, 0.3976825773715973, 0.009870538488030434, -0.19969959557056427, -0.12311947345733643, 0.036621127277612686, -0.12154591083526611, 0.035476718097925186]","[-0.03785408288240433, 1.1763471364974976, 0.03082859516143799, 0.1951998621225357, -0.12959636747837067, 0.09910885989665985, 0.12759718298912048, 1.2357757091522217]",0.009896127507090569,-0.0004855819861404598,0.11851193010807037,-0.0004381593025755137,0.00311140320263803,0.03920663893222809,"[-0.1073603630065918, 1.526989221572876, -0.16489720344543457, 1.4096910953521729, 0.09245157241821289, 1.549591302871704, -0.20113062858581543, 1.5724833011627197]","[-0.018357809633016586, 0.06961663067340851, -0.2530516982078552, 0.15601754188537598, 0.7633988261222839, -0.005531184375286102, 1.389900803565979, -0.257676899433136]","[-0.060597408562898636, -0.06337172538042068, 0.13788974285125732, 0.955784022808075, -1.3780109882354736, 0.46590152382850647, 1.3906400203704834, 1.5770471096038818]",0.013148197904229164,0.005847662687301636,0.1193184033036232,-0.004224502481520176,0.009040508419275284,0.05452679097652435
0,8,"[-0.11950325982523412, -0.12227154862660303, -0.0012043477322349406, 0.012980064877744073, -0.06268689184469876, -0.020763571885364575, -0.023120503090336333, 0.02860432065557067]","[-0.1073603630065918, 1.526989221572876, -0.16489720344543457, 1.4096910953521729, 0.09245157241821289, 1.549591302871704, -0.20113062858581543, 1.5724833011627197]","[-0.018357809633016586, 0.06961663067340851, -0.2530516982078552, 0.15601754188537598, 0.7633988261222839, -0.005531184375286102, 1.389900803565979, -0.257676899433136]","[-0.060597408562898636, -0.06337172538042068, 0.13788974285125732, 0.955784022808075, -1.3780109882354736, 0.46590152382850647, 1.3906400203704834, 1.5770471096038818]",0.013148197904229164,0.005847662687301636,0.1193184033036232,-0.004224502481520176,0.009040508419275284,0.05452679097652435,"[-0.2227635383605957, 1.4257452487945557, -0.17537546157836914, 1.4233973026275635, 0.03241777420043945, 1.5352346897125244, -0.22638654708862305, 1.5710747241973877]","[-0.09040625393390656, -0.05397672951221466, 0.4279038608074188, -0.01888231933116913, -0.056170132011175156, -0.10814419388771057, 0.04362960159778595, 0.014304786920547485]","[0.10111068189144135, 0.5892640948295593, -0.2675056457519531, 0.04341181367635727, 0.07409842312335968, 0.7632094621658325, 0.011042892932891846, 1.3539105653762817]",0.012531132437288761,0.007104942109435797,0.11945661157369614,-0.006054798141121864,-0.0027505098842084408,0.07153268158435822
0,9,"[-0.10982105759340548, 0.09253309638099494, -0.02862624512556289, 0.08534420483418204, 0.13048687589121666, -0.03292356581473127, -0.09193784366920045, -0.08352081982181216]","[-0.2227635383605957, 1.4257452487945557, -0.17537546157836914, 1.4233973026275635, 0.03241777420043945, 1.5352346897125244, -0.22638654708862305, 1.5710747241973877]","[-0.09040625393390656, -0.05397672951221466, 0.4279038608074188, -0.01888231933116913, -0.056170132011175156, -0.10814419388771057, 0.04362960159778595, 0.014304786920547485]","[0.10111068189144135, 0.5892640948295593, -0.2675056457519531, 0.04341181367635727, 0.07409842312335968, 0.7632094621658325, 0.011042892932891846, 1.3539105653762817]",0.012531132437288761,0.007104942109435797,0.11945661157369614,-0.006054798141121864,-0.0027505098842084408,0.07153268158435822,"[-0.3223416805267334, 1.512911081314087, -0.2087538242340088, 1.5057117938995361, 0.051625728607177734, 1.4971182346343994, -0.24161720275878906, 1.494218111038208]","[0.07018882036209106, 0.5170703530311584, -0.027274461463093758, 0.26606905460357666, -0.5366202592849731, 0.2971581220626831, -2.5554072856903076, 0.12244898080825806]","[0.3760547935962677, -0.20120394229888916, -0.2514219284057617, -0.10942499339580536, -1.4861198663711548, -0.19105574488639832, 1.399007797241211, -0.015927810221910477]",0.014691757969558239,-0.0008899258100427687,0.11944916844367981,0.0009189120610244572,0.005429174285382032,0.07567522674798965
