sequence,step,increments,prev_j_positions,prev_j_velocities,prev_j_forces,prev_base_pos_x,prev_base_pos_y,prev_base_pos_z,prev_base_ori_alpha,prev_base_ori_beta,prev_base_ori_gamma,post_j_positions,post_j_velocities,post_j_forces,post_base_pos_x,post_base_pos_y,post_base_pos_z,post_base_ori_alpha,post_base_ori_beta,post_base_ori_gamma
0,0,"[0.008101986387225953, -0.027236990902791452, 0.03353086584837414, -0.0033081583253783656, -0.06574814249773125, 0.03178469506056615, -0.08388273333772363, -0.09789554841593823]","[0.004590511322021484, 1.5506393909454346, 0.0034737586975097656, 1.5520603656768799, -0.0009093284606933594, 1.54378342628479, -0.0015537738800048828, 1.5506432056427002]","[1.8352035284042358, -0.3187180161476135, -0.08802415430545807, 0.18138889968395233, -0.32491689920425415, -0.1312256157398224, -0.38676270842552185, 0.39978036284446716]","[-0.005172162316739559, 0.008375206962227821, -0.0037146727554500103, -0.07192595303058624, -0.0013809178490191698, -0.021003128960728645, -0.004668308887630701, -0.0291934572160244]",0.11792837083339691,0.0,0.0,0.00010128917347174138,-0.00023349093680735677,-8.690264075994492e-05,"[0.015039920806884766, 1.5441601276397705, 0.03674745559692383, 1.5524561405181885, -0.06675267219543457, 1.5706217288970947, -0.08812451362609863, 1.4875118732452393]","[0.07762916386127472, 0.5022053718566895, 0.08277901262044907, -0.18615740537643433, 0.016450896859169006, -0.04577641189098358, 0.09918222576379776, 0.036048922687768936]","[0.06953327357769012, 0.7283912301063538, -0.04976138100028038, 0.165466770529747, -0.0013567621354013681, 1.2165471315383911, -0.09169846773147583, 0.8423266410827637]",-0.003096789587289095,-0.003339628456160426,0.11867522448301315,0.000927406654227525,0.005581868812441826,0.013804309070110321
0,1,"[0.06847800858392672, -0.08209766896924285, 0.07535625856435876, 0.033768625160891935, -0.0645429643471788, -0.10270766171780694, -0.032088742496102586, 0.1136415301824302]","[0.015039920806884766, 1.5441601276397705, 0.03674745559692383, 1.5524561405181885, -0.06675267219543457, 1.5706217288970947, -0.08812451362609863, 1.4875118732452393]","[0.07762916386127472, 0.5022053718566895, 0.08277901262044907, -0.18615740537643433, 0.016450896859169006, -0.04577641189098358, 0.09918222576379776, 0.036048922687768936]","[0.06953327357769012, 0.7283912301063538, -0.04976138100028038, 0.165466770529747, -0.0013567621354013681, 1.2165471315383911, -0.09169846773147583, 0.8423266410827637]",-0.003096789587289095,-0.003339628456160426,0.11867522448301315,0.000927406654227525,0.005581868812441826,0.013804309070110321,"[0.08075809478759766, 1.4902880191802979, 0.1101527214050293, 1.5721867084503174, -0.12483072280883789, 1.4827511310577393, -0.12597942352294922, 1.5733749866485596]","[-0.14123930037021637, 0.768090009689331, 0.030708342790603638, 0.3082278370857239, 0.3633979558944702, -0.2212526500225067, 0.2085687667131424, 0.558472216129303]","[-0.1070774644613266, 0.8816930055618286, -0.0014242647448554635, 1.0644147396087646, 0.18062058091163635, 0.8392581939697266, -0.19487479329109192, 1.1238640546798706]",-0.008393189869821072,0.001625155215151608,0.11893919855356216,0.00023124500876292586,-0.013628886081278324,0.011368957348167896
0,2,"[0.01636603701234166, -0.054818577044991525, -0.02258143528992553, -0.04155701550072518, -0.09504842299844289, -0.0315396940965351, 0.05819156275512505, 0.06678879027651102]","[0.08075809478759766, 1.4902880191802979, 0.1101527214050293, 1.5721867084503174, -0.12483072280883789, 1.4827511310577393, -0.12597942352294922, 1.5733749866485596]","[-0.14123930037021637, 0.768090009689331, 0.030708342790603638, 0.3082278370857239, 0.3633979558944702, -0.2212526500225067, 0.2085687667131424, 0.558472216129303]","[-0.1070774644613266, 0.8816930055618286, -0.0014242647448554635, 1.0644147396087646, 0.18062058091163635, 0.8392581939697266, -0.19487479329109192, 1.1238640546798706]",-0.008393189869821072,0.001625155215151608,0.11893919855356216,0.00023124500876292586,-0.013628886081278324,0.011368957348167896,"[0.0947256088256836, 1.4565861225128174, 0.09393072128295898, 1.5337679386138916, -0.21071147918701172, 1.4735023975372314, -0.0734560489654541, 1.5711233615875244]","[0.23317359387874603, 0.5241398811340332, -0.06504064798355103, -0.06408697366714478, 0.09651193022727966, 0.3797534704208374, -0.006961829029023647, -0.34675630927085876]","[-0.19685547053813934, 0.6217628717422485, 0.16427861154079437, 0.08232788741588593, 0.19815988838672638, 0.5992381572723389, -0.2572326064109802, 1.2900569438934326]",-0.010419083759188652,0.002609819173812866,0.11937768757343292,-0.0008589254575781524,-0.010896539315581322,0.021891841664910316
0,3,"[0.055789309895461936, 0.10031399513320192, -0.013648424674588615, 0.07791946630808676, -0.09134136610003656, -0.12906153720979677, 0.05472492621242636, 0.0003587009111598434]","[0.0947256088256836, 1.4565861225128174, 0.09393072128295898, 1.5337679386138916, -0.21071147918701172, 1.4735023975372314, -0.0734560489654541, 1.5711233615875244]","[0.23317359387874603, 0.5241398811340332, -0.06504064798355103, -0.06408697366714478, 0.09651193022727966, 0.3797534704208374, -0.006961829029023647, -0.34675630927085876]","[-0.19685547053813934, 0.6217628717422485, 0.16427861154079437, 0.08232788741588593, 0.19815988838672638, 0.5992381572723389, -0.2572326064109802, 1.2900569438934326]",-0.010419083759188652,0.002609819173812866,0.11937768757343292,-0.0008589254575781524,-0.010896539315581322,0.021891841664910316,"[0.15003395080566406, 1.5535595417022705, 0.08126401901245117, 1.5790951251983643, -0.30133628845214844, 1.363332986831665, -0.01850295066833496, 1.541473627090454]","[0.010204324498772621, -0.2334596961736679, -0.05989080294966698, 0.5233769416809082, -0.09489068388938904, 0.09765634685754776, 0.024080298840999603, 0.70457524061203]","[-0.006012484896928072, 0.04823415353894234, 0.05382091552019119, 1.4666391611099243, 0.061753712594509125, 0.5170490145683289, 0.0035413685254752636, 0.9173144102096558]",-0.014401503838598728,-0.010091312229633331,0.11888864636421204,0.0038336508441716433,-0.010030580684542656,0.048000797629356384
0,4,"[-0.13037195185793898, -0.06598262420910608, 0.06444792814635325, 0.12451348932679653, 0.10543399992664872, 0.038823246855224806, -0.0531785813599726, -0.12128781959916053]","[0.15003395080566406, 1.5535595417022705, 0.08126401901245117, 1.5790951251983643, -0.30133628845214844, 1.363332986831665, -0.01850295066833496, 1.541473627090454]","[0.010204324498772621, -0.2334596961736679, -0.05989080294966698, 0.5233769416809082, -0.09489068388938904, 0.09765634685754776, 0.024080298840999603, 0.70457524061203]","[-0.006012484896928072, 0.04823415353894234, 0.05382091552019119, 1.4666391611099243, 0.061753712594509125, 0.5170490145683289, 0.0035413685254752636, 0.9173144102096558]",-0.014401503838598728,-0.010091312229633331,0.11888864636421204,0.0038336508441716433,-0.010030580684542656,0.048000797629356384,"[0.02011871337890625, 1.500687837600708, 0.14298105239868164, 1.5803511142730713, -0.20430588722229004, 1.3947947025299072, -0.06491398811340332, 1.4325182437896729]","[-0.11014948785305023, 0.69999760389328, 0.04844669997692108, -0.40283241868019104, 0.10423669964075089, -0.06961829215288162, 0.2155306041240692, -0.09536752104759216]","[-0.010090140625834465, 0.5173528790473938, -0.04917377606034279, 1.2295963764190674, -0.2992474436759949, -0.25069767236709595, 0.157090425491333, 0.7013801336288452]",-0.01057502068579197,-0.008203499019145966,0.11980196088552475,0.005024298094213009,-0.005621029995381832,0.07167842239141464
0,5,"[-0.00842359999244624, 0.0808183708703052, 0.1277291726235192, -0.08062713596831785, -0.011894592193711999, 0.03695246373545491, -0.026958809490758177, -0.009144637826956726]","[0.02011871337890625, 1.500687837600708, 0.14298105239868164, 1.5803511142730713, -0.20430588722229004, 1.3947947025299072, -0.06491398811340332, 1.4325182437896729]","[-0.11014948785305023, 0.69999760389328, 0.04844669997692108, -0.40283241868019104, 0.10423669964075089, -0.06961829215288162, 0.2155306041240692, -0.09536752104759216]","[-0.010090140625834465, 0.5173528790473938, -0.04917377606034279, 1.2295963764190674, -0.2992474436759949, -0.25069767236709595, 0.157090425491333, 0.7013801336288452]",-0.01057502068579197,-0.008203499019145966,0.11980196088552475,0.005024298094213009,-0.005621029995381832,0.07167842239141464,"[0.013537406921386719, 1.5719482898712158, 0.26635265350341797, 1.5095932483673096, -0.22581124305725098, 1.4222471714019775, -0.09137940406799316, 1.4334700107574463]","[0.04453663155436516, 0.00267029064707458, 0.24347329139709473, -0.11177073419094086, -0.09808550029993057, -0.5180363655090332, -0.07691390812397003, -0.13351453840732574]","[0.017186161130666733, 0.8189544677734375, -0.12280938774347305, 0.15762247145175934, -0.14640793204307556, -0.2808862030506134, 0.12454700469970703, 0.24882885813713074]",-0.0144533421844244,-0.008305206894874573,0.11951402574777603,0.004950494505465031,0.0018656763713806868,0.05694720894098282
0,6,"[-0.0013241672834608117, -0.006144099951232377, 0.01567947911884182, 0.0785069463141461, -0.1271351347950431, -0.12687377748971762, 0.09580874310142133, -0.06817498453481914]","[0.013537406921386719, 1.5719482898712158, 0.26635265350341797, 1.5095932483673096, -0.22581124305725098, 1.4222471714019775, -0.09137940406799316, 1.4334700107574463]","[0.04453663155436516, 0.00267029064707458, 0.24347329139709473, -0.11177073419094086, -0.09808550029993057, -0.5180363655090332, -0.07691390812397003, -0.13351453840732574]","[0.017186161130666733, 0.8189544677734375, -0.12280938774347305, 0.15762247145175934, -0.14640793204307556, -0.2808862030506134, 0.12454700469970703, 0.24882885813713074]",-0.0144533421844244,-0.008305206894874573,0.11951402574777603,0.004950494505465031,0.0018656763713806868,0.05694720894098282,"[0.013421058654785156, 1.564704179763794, 0.28718137741088867, 1.5716526508331299, -0.35140037536621094, 1.3127014636993408, -0.004018068313598633, 1.3632538318634033]","[0.035858187824487686, -0.05245213583111763, 0.1295090913772583, 0.1497270166873932, -0.17957703769207, 1.158906102180481, -0.12197506427764893, 0.16288772225379944]","[-0.006800276227295399, 0.1087275967001915, 0.10089083015918732, 1.264638900756836, 0.14882366359233856, 0.588772177696228, -0.3230130076408386, -0.015102053061127663]",-0.01734962686896324,-0.014421037398278713,0.11959043890237808,0.00813230313360691,-0.0019683788996189833,0.07212528586387634
0,7,"[0.01634246098775169, -0.11934721549870761, 0.05250807364843297, -0.03617823830123702, 0.008150285944115635, 0.11424463244720037, -0.0041327504457019035, -0.1180684888948874]","[0.013421058654785156, 1.564704179763794, 0.28718137741088867, 1.5716526508331299, -0.35140037536621094, 1.3127014636993408, -0.004018068313598633, 1.3632538318634033]","[0.035858187824487686, -0.05245213583111763, 0.1295090913772583, 0.1497270166873932, -0.17957703769207, 1.158906102180481, -0.12197506427764893, 0.16288772225379944]","[-0.006800276227295399, 0.1087275967001915, 0.10089083015918732, 1.264638900756836, 0.14882366359233856, 0.588772177696228, -0.3230130076408386, -0.015102053061127663]",-0.01734962686896324,-0.014421037398278713,0.11959043890237808,0.00813230313360691,-0.0019683788996189833,0.07212528586387634,"[0.04036426544189453, 1.4742090702056885, 0.32268238067626953, 1.534963846206665, -0.34758543968200684, 1.4210150241851807, -0.0052454471588134766, 1.259791612625122]","[0.5015258193016052, -1.2349799871444702, -1.1477208137512207, 0.03414075821638107, 0.10657066851854324, 0.07133320719003677, 0.1461472511291504, 0.25786763429641724]","[0.2157963216304779, 1.1317310333251953, -0.5944086313247681, -0.07705601304769516, -0.1390799880027771, -0.023723669350147247, 0.06901918351650238, 0.611009955406189]",-0.017701303586363792,-0.010638803243637085,0.12008462101221085,0.0036779511719942093,-0.0019206134602427483,0.0617525652050972
0,8,"[-0.08214713078185097, 0.010342345122760138, -0.03148466228478792, 0.11538629402354926, 0.06538373057729173, 0.056384398599011405, -0.11682393905112909, -0.11453361982983262]","[0.04036426544189453, 1.4742090702056885, 0.32268238067626953, 1.534963846206665, -0.34758543968200684, 1.4210150241851807, -0.0052454471588134766, 1.259791612625122]","[0.5015258193016052, -1.2349799871444702, -1.1477208137512207, 0.03414075821638107, 0.10657066851854324, 0.07133320719003677, 0.1461472511291504, 0.25786763429641724]","[0.2157963216304779, 1.1317310333251953, -0.5944086313247681, -0.07705601304769516, -0.1390799880027771, -0.023723669350147247, 0.06901918351650238, 0.611009955406189]",-0.017701303586363792,-0.010638803243637085,0.12008462101221085,0.0036779511719942093,-0.0019206134602427483,0.0617525652050972,"[-0.019330501556396484, 1.4957506656646729, 0.29086875915527344, 1.571106195449829, -0.2906837463378906, 1.4704258441925049, -0.11412358283996582, 1.1580164432525635]","[-0.6993133425712585, -0.11996947973966599, 0.8605760335922241, -0.33854663372039795, -0.09188441932201385, 0.1487697809934616, -0.09846462309360504, -0.4672897160053253]","[0.7508809566497803, 0.5571485161781311, -0.7768415808677673, 1.0974222421646118, -0.2505555748939514, -0.18836572766304016, 0.19090697169303894, 0.4083113670349121]",-0.020603857934474945,-0.014257313683629036,0.11926249414682388,0.0035481296945363283,-0.007856450974941254,0.09643928706645966
0,9,"[-0.04262413465104377, 0.07681076592106903, -0.09304975048872711, 0.13052820827728487, -0.09188163901904538, 0.11499327792992192, 0.10295725976361256, -0.007159172234681011]","[-0.019330501556396484, 1.4957506656646729, 0.29086875915527344, 1.571106195449829, -0.2906837463378906, 1.4704258441925049, -0.11412358283996582, 1.1580164432525635]","[-0.6993133425712585, -0.11996947973966599, 0.8605760335922241, -0.33854663372039795, -0.09188441932201385, 0.1487697809934616, -0.09846462309360504, -0.4672897160053253]","[0.7508809566497803, 0.5571485161781311, -0.7768415808677673, 1.0974222421646118, -0.2505555748939514, -0.18836572766304016, 0.19090697169303894, 0.4083113670349121]",-0.020603857934474945,-0.014257313683629036,0.11926249414682388,0.0035481296945363283,-0.007856450974941254,0.09643928706645966,"[-0.06305789947509766, 1.5618784427642822, 0.20594453811645508, 1.5705511569976807, -0.37915611267089844, 1.5710108280181885, -0.013116836547851562, 1.1434013843536377]","[-0.018977684900164604, 0.26816707849502563, -0.08868968486785889, -0.2481403797864914, -0.22139042615890503, 0.03375929966568947, 0.2522887587547302, -0.21457180380821228]","[-0.050331901758909225, -0.11523608863353729, 0.15469130873680115, 1.2156418561935425, 0.17392849922180176, 1.536935567855835, -0.2243676632642746, -0.2583267092704773]",-0.01365216076374054,-0.01590045914053917,0.11815854907035828,0.0008243918418884277,0.0020231192465871572,0.08462399244308472
