Velocidad de entrada,Velocidad medida por el motor,Velocidad giroscopio
175,175.824,169.8
175,173.16,172.99
175,175.824,176.22
175,175.824,164.05
175,173.16,161.09
175,175.824,165.53
175,173.16,172.63
175,175.824,169.52
175,175.824,161.05
175,173.16,170.61
175,175.824,174.08
175,173.16,164.39
175,173.16,171.26
175,175.824,165.49
175,173.16,164.36
175,175.824,164.34
175,175.824,172.27
175,173.16,165.78
175,173.16,163.08
175,175.824,169.72
175,175.824,168.84
175,175.824,164.31
175,173.16,167.91
175,173.16,168.95
175,178.488,163.98
175,173.16,165.92
175,173.16,167.13
175,175.824,166.09
175,170.496,166.26
175,175.824,163.71
165,167.83200000000002,147.8
165,165.168,155.92
165,165.168,147.72
165,165.168,168.44
165,162.50400000000002,153.74
165,165.168,170.66
165,165.168,145.56
165,162.50400000000002,171.18
165,165.168,150.0
165,162.50400000000002,158.93
165,162.50400000000002,148.71
165,162.50400000000002,160.34
165,162.50400000000002,153.55
165,162.50400000000002,155.09
165,165.168,155.66
165,165.168,156.38
165,165.168,151.73
165,162.50400000000002,165.16
165,167.83200000000002,159.44
165,167.83200000000002,156.18
165,165.168,156.14
165,165.168,169.91
165,165.168,153.53
165,165.168,163.15
165,162.50400000000002,159.92
165,162.50400000000002,155.07
165,162.50400000000002,152.35
165,165.168,155.9
165,165.168,161.85
165,165.168,161.24
155,157.17600000000002,148.72
155,154.512,142.02
155,151.848,152.98
155,154.512,141.63
155,154.512,149.77
155,151.848,150.01
155,157.17600000000002,151.06
155,151.848,145.48
155,154.512,148.38
155,151.848,150.97
155,154.512,149.39
155,154.512,149.56
155,157.17600000000002,150.53
155,154.512,141.37
155,157.17600000000002,148.95
155,154.512,140.9
155,154.512,150.74
155,154.512,142.21
155,157.17600000000002,151.35
155,154.512,144.07
155,154.512,149.83
155,154.512,141.49
155,154.512,149.26
155,154.512,141.82
155,157.17600000000002,150.52
155,154.512,143.72
155,154.512,149.91
155,157.17600000000002,141.06
155,154.512,149.15
155,154.512,144.15
145,146.52,136.78
145,141.192,135.35
145,146.52,135.56
145,146.52,133.21
145,146.52,135.67
145,146.52,137.2
145,141.192,134.21
145,143.856,137.89
145,143.856,134.17
145,143.856,139.76
145,143.856,137.22
145,143.856,138.96
145,146.52,134.79
145,143.856,139.46
145,146.52,137.75
145,141.192,137.37
145,146.52,133.13
145,143.856,137.32
145,146.52,135.29
145,143.856,133.62
145,141.192,134.45
145,146.52,137.9
145,143.856,134.79
145,149.184,137.18
145,143.856,134.29
145,143.856,138.73
145,143.856,135.32
145,143.856,134.66
145,146.52,134.51
145,141.192,136.95
135,135.864,131.21
135,133.20000000000002,128.11
135,133.20000000000002,132.78
135,133.20000000000002,123.97
135,133.20000000000002,132.41
135,133.20000000000002,123.33
135,135.864,124.31
135,130.536,129.68
135,130.536,135.03
135,133.20000000000002,125.09
135,133.20000000000002,126.84
135,133.20000000000002,122.73
135,130.536,126.21
135,133.20000000000002,124.82
135,133.20000000000002,130.74
135,133.20000000000002,123.34
135,135.864,128.25
135,135.864,127.64
135,135.864,138.46
135,133.20000000000002,127.92
135,133.20000000000002,131.04
135,133.20000000000002,121.95
135,133.20000000000002,128.56
135,133.20000000000002,125.76
135,133.20000000000002,129.2
135,130.536,125.4
135,130.536,131.78
135,133.20000000000002,123.67
135,135.864,134.44
135,130.536,126.26
125,122.54400000000001,110.95
125,125.20800000000001,114.64
125,122.54400000000001,114.16
125,122.54400000000001,106.39
125,119.88000000000001,111.72
125,125.20800000000001,110.83
125,119.88000000000001,112.8
125,122.54400000000001,110.2
125,119.88000000000001,112.21
125,119.88000000000001,110.31
125,122.54400000000001,112.5
125,125.20800000000001,106.38
